source_url,destination_path,status_code,category,topic_or_cohort,clicks,impressions,position,backlinks,priority,confidence,manual_review
https://www.celebios.com/ocampo-soto-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/vicenteerivascervantes,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/sarahzerbibpradere,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/enriquecastellanoslizcano,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/coyotl-otero-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/imagenologia-caballos-2020,/cursos,301,curso_historico,imagenologia-caballos,,,,,media,alta,false
https://www.celebios.com/arias-garcia,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-esparza-lupercio,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/galeria-1,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/medicina-interna,/cursos,301,curso_historico,medicina-interna,,,,,media,alta,false
https://www.celebios.com/felidos-perez-cherif,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/galindo-castillo,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/navarro-sanchez-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-marquez-sanchez,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/vargas-ortega-2017,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/formulario-sig,/cursos,301,curso_historico,sig-cartografia,,,,,media,alta,false
https://www.celebios.com/miriama-loza-balderas,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-castillo-vazquez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/juarez-sarmiento,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/ortopedia-siede-barrie,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
